name,latitude,longitude,color
Banjar [bjn],-2.5,115.5,#9D8965
Banjari [lmn-2],16.5,77.455,#7A9266
Bankariya [cdm-2],27.5,85,#67AC6B
Banoni [bcm],-6.417,155.25,#987161
Bantang [pho-5],21.75,102.25,#38A285
Bantawa [bap],27.2,87.1,#72AF89
Bantik [bnq],1.564,124.859,#9A9092
Bantoanon [bno],12.784,122.049,#A38275
Banyum [bab],11.5,-16.5,#77987B
Banyun [bcb],12.75,-16.3,#85A060
Baoan [peh],35.5,102,#47B77F
Baoan [yue-12],22.55,113.9,#6FAEB8
Bará [bao],0.1,-70.45,#A7607D
Baraba [tat-2],55.333,78.333,#6E7D6B
Barai [bbb],-9.417,148,#AA426F
Barain_Giliya [bva-2],12.08,18.58,#AF9669
Barain_Jalking [bva-3],12.22,18.8,#AF9669
Barain_Jalkiya [bva],12.18,18.68,#A99868
Barain_Komiya [bva-4],12.17,18.75,#A89A69
Baram [brd],27.95,85,#73B37D
Barang-barang [lji],-6.4,120.5,#9DA46C
Barapasi [brp],-2.247,136.995,#995474
Barasano [bsn],-0.25,-70.75,#975783
Bardi [bcj],-16.58,122.92,#D1BB85
Bare [bae],1.6,-66.8,#745E92
Bareke [mpr],-8.543,158.113,#917272
Bari [bfa],3.8,31,#817566
Barí [mot],9,-73.5,#995F80
Bariai [bch],-5.497,148.63,#A8876F
Bariba [bba],10.217,2.667,#88816C
Bariji [bjc],-9.211,148.401,#9B5F72
Barrow Point [bpt],-14.373,144.63,#C0A186
Baruga [bjz],-9.328,148.734,#8D4172
Barunggam [xxx-64],-26.25,151.25,#C89D87
Barupu [wra],-3.083,142.083,#A76F8A
Baruya [byr],-6.917,145.833,#A3887F
Basaa [bas],5,10.15,#889280
Basari [bsc],12.25,-13,#739861
Basay_Trobriawan [byq],25,122,#898194
Basel [gsw-4],47.56,7.59,#587C8E
Bashkarik [gwc-2],35.358,72.137,#408E67
Bashkir [bak],53,58,#5D7575
Basketo [bst],6.384,36.651,#5D665A
Basque [eus],43.2,-3,#7F6B88
Bata [bta],9.7,12.5,#538644
Batak Dairi [btd],2.546,98.3,#937F66
Batak_Palawan [bya],10.115,119.214,#A58C79
Batang [khg-5],30.57,98.97,#23ADA9
Bateg [btq],5,102.5,#8F9A6C
Bathari [bhm],17.6,56,#505D61
Batsbi [bbl-2],42.05,45.31,#788282
Batuley [bay],-5.8,134.75,#A16C7A
Bau [bbd],-5.213,145.556,#8D5688
Baukan Murut [bnb],5.273,116.519,#AB8774
Baule [bci],7.5,-5,#84637E
Baure [brg],-15,-64,#9E458A
Bauro [bxa],-10.647,161.858,#94716C
Bauzi [bvz],-2.5,137.667,#795D89
Bawm [bgr],22.5,92.25,#52AA6A
Bayso [baw],6.456,37.745,#6C575D
Bayungu [bxj],-23.3,113.7,#D4AF85
Bduul [ajp-3],30.33,35.44,#644E52
Bedamini [beo],-6.321,142.489,#9964A8
Bedayuh [bth],1.01,110.51,#8F8B6A
Bedik [tnr],12.75,-12.467,#609E53
Begak [dbj-2],5.25,118.833,#99946C
Beihai [yue-6],21.47,109.1,#6E90BF
Beja [bej],18,36,#844C69
Bela [bxd-2],24.33,98.4,#4888AF
Belait [beg],4.382,114.462,#93927E
Belanda Boor [bxb],6.5,28,#9BAC54
Belarussian [bel],54,27,#526B69
Belhare [byw],27,87.25,#74A982
Beli [blm],6.75,29.75,#98AA5A
Bella Coola [blc],52.5,-126.67,#7848C4
Bellona [mnv-2],-11.296,159.79,#9A6A9C
Bemal [bmh],-5.234,145.475,#8D5A89
Bemba [bem],-11,31,#8E817B
Bembe [bmb],-4,14,#6F5F93
Bena-Bena [bef],-6.114,145.567,#883FA0
Bench [bcq],7,35.75,#415D66
Bende [bdp],-6,30.5,#737F71
Beng [nhb],7.83,-4.25,#829E59
Benga [bng],1.2,9.5,#70736E
Bengali [ben],22.5,90,#695C87
Bengni [adi-3],28.66,93.37,#72A35D
Beothuk [bue],48,-55,#996D8D
Berik [bkl],-2.25,138.92,#807764
Berlinerisch [deu-3],52.5,13.15,#4E7A71
Bernese [gsw-3],46.83,7.62,#6578A1
Berta [wti],10.67,34.5,#83675F
Besemah [pse],-4.2,103,#8A895F
Bésiro [xxx-16],-16.6375,-61.9271,#9463A0
Besoa [bep],-1.599,120.379,#9A7A66
Bété [btg],6.25,-6.25,#5FB973
Bete [byf],7.05,9.748,#648374
Betta_Kurumba [xub],11.58,76.55,#998078
Bewani [pgi],-3.024,141.167,#9A719F
Bezhta [kap],42.14,46.13,#41526F
Bhili [bhb],22,73,#708D59
Bhojpuri [bho],26.8,85.3,#748669
Bhumij [muw],21.333,86.5,#809C6A
Biak [bhw],-1,136,#9F5672
Bian Marind [bpv],-7.222,140.548,#6B787B
Biangai [big],-7.33,146.75,#A47783
Biaomin Yao [bmt],23.6,111.75,#53BFAA
Biatah [bth-2],1.264,110.32,#9B8B6E
Bidjara [bym],-24.5,146.592,#C7B78A
Bierebo [bnk],-16.667,168.131,#968582
Bieria [brj],-16.807,168.194,#9E7792
Bih [rad-2],12.48,108.025,#70C974
Bijago [bjg],11.28,-15.83,#9E9864
Bijago_Orango [bjg-2],11.25,-16.22,#AC905C
Bikol [bcl],13.333,123.5,#A39871
Biksi [yet],-4.013,140.494,#B68181
Bilbil [brz],-5.26,145.76,#A9836C
Bilin [byn],15.9,38.3,#977C75
Bilinara [nbj],-16,131.667,#CFB486
Biloxi [bll],32.25,-90,#723F84
Bilua [blb],-7.75,156.667,#A8766F
Bima [bhp],-8.545,118.677,#7D7C51
Bimin [bhl],-5.43,141.942,#A57693
Bina [bmn],-10.249,149.683,#B077A9
Binandere [bhg],-8.167,147.917,#AA5677
Binbinga [wmb-2],-16.17,135,#D1A989
Bine [bon],-9.05,142.884,#998667
Bini [bin],6.42,5.83,#69586A
Binigura [pnv],-22.488,116.506,#D4AF85
Bininj Gun-Wok [gup],-12.5,133.75,#B3B56A
Bintulu [bny],3.83,113.67,#6D8254
Binukid [bkd],8.3,125,#9D8477
Binumarien [bjr],-6.25,146.08,#B25899
Binyang [cmn-36],23.22,108.82,#62A1AB
Bipi [biq],-2.109,146.4,#878D59
Birao [brr],-9.746,160.515,#9F7975
Birgid [btf],13,27,#77845A
Biri [bvi],7.55,6.233,#44AA4A
Biri [bzr],-20.5,146.5,#CCB787
Biritai [bqq],-3,137.6,#994795
Birom [bom],9.67,8.83,#767A76
Bisa [bib],11.783,0.366,#888B61
Bisayah_Sarawak [bsb],5.33,115.5,#81865D
Bisu [bii],19.75,100,#409E83
Bizkaian [eus-3],43.25,-2.98,#918390
Blablanga [blp],-8.17,159.42,#737E6F
Blablanga_Ghove [blp-2],-8.33,159.5,#647A71
Black_Tai [blt],19.75,105,#56869B
Blackfoot [bla],50,-112.67,#9D4FB5
Blagar [beu],-8.33,124.25,#8D816A
Blang [blr],23.3,100,#7AB56B
Boazi [kvg],-7,141.25,#736078
Boazi_Kuni [kvg-2],-6.913,141.326,#66747E
Bobangi [bni],0,17.8,#786A7E
Bobo-Fing [bbo],11.83,-4.42,#778762
Bobongko [bgb],-0.5,121.75,#A49169
Bobot [bty],-3.33,130.17,#946469
Bocota [sab],9.34,-82.24,#9B776C
Bogaya [boq],-5.621,142.231,#9C679E
Boholano [ceb-2],9.9,124.2,#A09763
Bohutu [bxh],-10.5,150.33,#7A758A
Boiken [bzf],-3.525,143.415,#8A6296
Bokar [adi-2],29,94.35,#93AA6E
Bola [bnp],-5.5,150,#AA736D
Bola [bxd-3],24.45,98.6,#46A3A8
Bole [bol],11.007,10.747,#597A41
Bolinao [smk],16.341,119.893,#A98773
Bologna [ita-3],44.51,11.35,#6D8B54
Bolyu [ply],24.78,105.35,#429BAF
Bonda [bfw-2],19,82.75,#988B62
Bondei [bou],-5.082,38.432,#66746B
Bonggi [bdg],7.3,117.2,#A46F5E
