name,latitude,longitude,color
Dagaare [dga],11.5,-2.5,#BDB091
Dagur [dta],48,124,#40A462
Dakpa [dka],27.75,91.5,#37B8AF
Damal [uhn],-4,137.5,#3E5DC6
Damar_West [drn],-7,128.5,#BB5D8E
Dameli [dml],35.375,71.693,#288958
Damin [xxx-7],-16.4,139.35,#5EA26B
Dani [dni],-4,138.917,#504CC9
Danish [dan],56,10,#75B42B
Darai [dry],27.85,84.1,#2D905C
Darma [drd],29.84,80.517,#449092
Dekwana [mch],4.5,-63.5,#632DA2
Denaina [tfn],62,-150,#8C2CD0
Denjongkha [sip],27.5,88.5,#72E3A4
Dhao [nfa],-10.83,122.75,#D6767F
Dharawal [tbh],-34.5,150.5,#4CDB8A
Dharuk [xxx-8],-33.1,151.75,#2F7886
Dharumbal [bjy],-22.75,150,#49AF6F
Dhimal [dhi],26.6,86.75,#309784
Didinga [did],4.33,33.6,#8F3553
Diegueño [dih],32.67,-116.17,#583BB4
Digaru Mishmi [mhu],28.2,96.2,#2E969A
Dimasa [dis],25.33,93,#4E9CBE
Dime [dim],6.25,36.33,#428B7A
Dimili [diq],38,40,#378C56
Dingri [bod-4],28.567,86.633,#44AAA8
Diola [dyo],13,-16,#DF3D78
Diyari [dif],-28,139,#568674
Djabugay [dyy],-16.65,145.5,#2AC66F
Djambarrpuyngu [djr],-12,135.5,#49B26E
Djapu [duj],-12.667,136,#61A864
Djaru [ddj],-18.75,128,#46A773
Djinang [dji],-12.5,134.833,#3BBA6C
Djingili [jig],-17.25,133.833,#636B6E
Dobel [kvo],-6.083,134.5,#BF5194
Dogon [dbu],14.5,-2.5,#5262A7
Dohoi [otd],-0.5,113,#DB7467
Dolpo [dre],29,83,#45B0CD
Dom [doa],-6,144.917,#6B7AB8
Dong [doc],26,109,#DFCE88
Dongwang [khg],28.25,99.55,#3FC2B3
Doutai [tds],-3.25,138.25,#6ACBA4
Doyayo [dow],8.67,13.08,#B9508B
Drehu [dhv],-21,167.083,#E9B056
Drokpa [bod-5],29.05,84.5,#38B6AF
Dulong [duu],28,98.333,#5394AA
Dumaki [dmk],36.167,74,#1FAF4A
Dumi [dus],27.25,86.67,#385EA4
Dumo [vam],-2.667,141.25,#B986C4
Dura [drq],28.5,84.25,#35BD76
Dutch [nld],52,7,#6F931C
Dyirbal [dbl],-17.583,145.5,#63AD73
Dzongkha [dzo],27.5,89.5,#3396A3
Edolo [etr],-6.083,142.667,#3F82C6
Ejagham [etu],5.6,9,#AA6B90
Ekagi [ekg],-3.917,136.25,#6757B7
Elopi [dbf],-3.083,137.333,#9CD3C2
Embaloh [emb],1.1628,112.37,#EE6671
Embera_Baudo [bdc],5.2,-76.8,#619798
Enggano [eno],-5.333,102.25,#DD7C53
English [eng],52,0,#80981D
Erzgebirgisch [nds-3],50.58,13,#6B7E34
Estonian [est],59,25,#5A9E23
Eton [eto],4,11.5,#C7447B
Even [eve],68,130,#347080
Evenki [evn],56,125,#2A7969
Ewe [ewe],6,1,#CF7689
Eyak [eya],60.5,-145,#5F35A9
Fang [fan],0.5,11,#D1397F
Faroese [fao],61.5,-7,#62B209
Farsi [pes],32,54,#70734F
Fasu [faa],-6.417,143.167,#2F80D0
Fijian [fij],-18,178.333,#CE7F62
Finnish [fin],62,25,#589725
Fordata [frd],-7.17,131.5,#D55CA7
Fore [for],-6.75,145.5,#334D9C
French [fra],48,3,#859620
Frisian [frs],53.2,5.76,#72A42A
Fula [fuh],11.5,-12.5,#B23A71
Fulniô [fun],-8.2,-37.3,#4F45D6
Fur [fvr],13,25,#61A290
Futuna_West [fut-2],-19.667,170.667,#D6BD70
Fuyuge [fuy],-8.667,147.333,#6AA2B9
Fuzhou [cdo],26.5,119,#9DDF7B
Ga'anda [gqa],10.33,12.58,#B05276
Gaagudju [gbu],-12.583,132.833,#A04484
Gaahmg [tbi-2],11.767,34.35,#B57486
Gabigabi [xxx-11],-25.5,153,#50CF90
Gadsup [gaj],-6.333,146,#1E6289
Gahuku [gah],-6.083,145.4,#1441A4
Galela [gbi],2,128.417,#D74AC4
Galo [adi],28,94.75,#5087B0
Galolen [gal],-8.58,126,#C3859C
Gamilaraay [kld-2],-31,149.5,#3AB557
Garawa [gbc],-17.25,137.667,#6B9D4E
Garo [grt],26,90,#539DAC
Gathang [kda],-32,152.5,#41BD82
Gayo [gay],4.55,96.95,#E28269
Gbaya-Kara [gya],6,15,#D788A7
Gbaya-Mbodomo [mdo],4.5,15,#BD8282
Gbeya_Bossangoa [gbp],6.67,17.5,#B87170
Gelao [gio],22.92,105.5,#DBD6A6
Georgian [kat],41.72,44.78,#448151
German [deu],50,10,#649C1A
German_Swiss [gsw],46.975,8.405,#69A028
Ghale [ghe],28.25,84.9,#27B599
Gikuyu [kik],-0.75,36.75,#CE4C71
Gitksan [git],55.33,-127.75,#98606A
Gojri [gju],33,76,#2C9356
Golden Palaung [pll],22.97,97.17,#E2CC80
Golin [gvf],-6.25,144.833,#616EC6
Gondi [gno],19,84.6,#0CBB66
Gooniyandi [gni],-18.5,126.6,#8D687C
Gorontalo [gor],0.5,122,#D28364
Gorum [pcj],18.5,82.833,#3A5B85
Grebo [gry],5.3,-8,#9B836C
Greek [ell],38,23,#667E05
Green_Hmong [hnj],28,105,#DFDA75
Greenlandic [kal],61,-48,#3B418F
Gtaq [gaq],18.633,83.5,#486B94
Gtob [gbj],18.583,82.867,#49708D
Guajajara [gub],-5,-45,#A536B5
Guajira [guc],12,-72,#B44069
Guarani [gug],-23,-56,#A55E8C
Gubeeher [bcb],12.5,-16.5,#BE2E87
Gujarati [guj],23,72,#2DA62A
Gumbaynggir [kgs],-30.4,152.5,#489592
Gününa Yajich [xxx-41],-38,-62.5,#6D6589
Gureng Gureng [gnr],-25.25,151,#44BB76
Gurr-goni [gge],-12.25,134.417,#765E92
Gurung [gvr],28.333,84.333,#42B7A6
Guugu Yimidhirr [kky],-15,144.833,#3CB977
