name,latitude,longitude,color,family,country
Fulniô [fun],-8.2,-37.3,#5555A9,Macro-Je,Brazil
Fur [fvr],13,25,#699C8B,Nilo-Saharan,Sudan
Futuna_West [fut-2],-19.667,170.667,#C3A779,Austronesian,Vanuatu
Fuyuge [fuy],-8.667,147.333,#6C8B9F,Trans New Guinea,Papua New Guinea
Fuzhou [cdo],26.5,119,#95D976,Tibeto-Burman,China
Ga'anda [gqa],10.33,12.58,#AE5B75,Afro-Asiatic,Nigeria
Gaagudju [gbu],-12.583,132.833,#9453A6,Gaagudju,Australia
Gaahmg [tbi-2],11.767,34.35,#B7835B,Nilo-Saharan,Sudan
Gabigabi [xxx-11],-25.5,153,#5CB8B9,Pama-Nyungan,Australia
Gadsup [gaj],-6.333,146,#3D519D,Trans New Guinea,Papua New Guinea
Gahuku [gah],-6.083,145.4,#383A97,Trans New Guinea,Papua New Guinea
Galela [gbi],2,128.417,#BE61AB,West Papuan,Indonesia
Galo [adi],28,94.75,#5997B4,Tibeto-Burman,India
Galolen [gal],-8.58,126,#C37593,Austronesian,Timor leste
Gamilaraay [kld-2],-31,149.5,#4DA697,Pama-Nyungan,Australia
Garawa [gbc],-17.25,137.667,#72959E,Wanyi-Garrwa,Australia
Garo [grt],26,90,#5997B6,Tibeto-Burman,India
Gathang [kda],-32,152.5,#51ADAD,Pama-Nyungan,Australia
Gayo [gay],4.55,96.95,#E08986,Austronesian,Indonesia
Gbaya-Kara [gya],6,15,#CB918B,Adamawa-Ubangi,Central African Republic
Gbaya-Mbodomo [mdo],4.5,15,#B28C67,Adamawa-Ubangi,Central African Republic
Gbeya_Bossangoa [gbp],6.67,17.5,#BB865D,Adamawa-Ubangi,Central African Republic
Gelao [gio],22.92,105.5,#CFDC7D,Tai-Kadai,China
Georgian [kat],41.72,44.78,#447B42,Kartvelian,Georgia
German [deu],50,10,#629504,Indo-European,Germany
German_Swiss [gsw],46.975,8.405,#649C1A,Indo-European,Switzerland
Ghale [ghe],28.25,84.9,#26C8A0,Tibeto-Burman,Nepal
Gikuyu [kik],-0.75,36.75,#C65566,Niger-Kongo,Kenya
Gitksan [git],55.33,-127.75,#9C606A,Tsimshian,Canada
Gojri [gju],33,76,#22903E,Indo-European,India
Golden Palaung [pll],22.97,97.17,#DDDC6A,Austroasiatic,Myanmar
Golin [gvf],-6.25,144.833,#6464B3,Trans New Guinea,Papua New Guinea
Gondi [gno],19,84.6,#16AC52,Dravidian,India
Gooniyandi [gni],-18.5,126.6,#8766AD,Bunuban,Australia
Gorontalo [gor],0.5,122,#D37C8B,Austronesian,Indonesia
Gorum [pcj],18.5,82.833,#385D80,Austroasiatic,India
Grebo [gry],5.3,-8,#9D9670,Niger-Kongo,Liberia
Greek [ell],38,23,#6A7905,Indo-European,Greece
Green_Hmong [hnj],28,105,#CBD155,Hmong-Mien,China
Greenlandic [kal],61,-48,#3A409F,Eskimo-Aleut,Greenland (Denmark)
Gtaq [gaq],18.633,83.5,#457197,Austroasiatic,India
Gtob [gbj],18.583,82.867,#466E95,Austroasiatic,India
Guajajara [gub],-5,-45,#A13FB6,Tupi,Brazil
Guajira [guc],12,-72,#B13F83,Arawak,Colombia
Guarani [gug],-23,-56,#9F5B91,Tupi,Paraguay
Gubeeher [bcb],12.5,-16.5,#BC4274,Niger-Kongo,Senegal
Gujarati [guj],23,72,#27A420,Indo-European,India
Gumbaynggir [kgs],-30.4,152.5,#5B8ABF,Pama-Nyungan,Australia
Gününa Yajich [xxx-41],-38,-62.5,#6E6D75,Chonan,Argentina
Gureng Gureng [gnr],-25.25,151,#5DA7A8,Pama-Nyungan,Australia
Gurr-goni [gge],-12.25,134.417,#7C5FAA,Maningrida,Australia
Gurung [gvr],28.333,84.333,#3ACFA7,Tibeto-Burman,Nepal
Guugu Yimidhirr [kky],-15,144.833,#52A9A5,Pama-Nyungan,Australia
Haa Zongkha [dzo-2],27.135,89.12,#3BD09A,Tibeto-Burman,Bhutan
Haida [hdn],53,-132,#778081,Haida,Canada
Hajong [haj],26.2,90.5,#36C08A,Indo-European,India
Hakha_Lai [cnh],22.667,93.667,#84ADA7,Tibeto-Burman,Myanmar
Hakka [hak],24.25,116.5,#A1CC72,Tibeto-Burman,China
Halkomelem [hur],49.5,-122.5,#8B225C,Salish,Canada
Hanga_Hundi [wos],-3.833,142.833,#417B74,Sepik,Papua New Guinea
Hangzhou [wuu-2],30.25,120.167,#9FD55E,Tibeto-Burman,China
Harsusi [hss],19.7,55.85,#7F621F,Afro-Asiatic,Oman
Hatam [had],-1,134,#B9819E,Hatam,Indonesia
Hausa [hau],12,7,#B96845,Afro-Asiatic,Nigeria
Hawaiian [haw],21,-157,#B0927E,Austronesian,USA
Hayu [vay],27.25,86,#4C93A0,Tibeto-Burman,Nepal
Hebrew [heb],31.75,35.17,#9D640A,Afro-Asiatic,Israel
Helong [heg],-10.25,123.67,#C97E8B,Austronesian,Indonesia
Herero [her],-21,20,#B95960,Niger-Kongo,Namibia
